ExonID	GeneID	geneSymbol	chr	strand	X1stExonStart_0base	X1stExonEnd	X2ndExonStart_0base	X2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	IncFormLen	SkipFormLen	AStype	TargetExon
SE_441	ENSG00000148396	SEC16A	chr9	-	139339503	139339563	NA	NA	139338274	139338352	139340096	139340171	IncFormLen	SkipFormLen	SE	-chr9:139339503-139339563
SE_442	ENSG00000148396	SEC16A	chr9	-	139339503	139339563	NA	NA	139338274	139338352	139341306	139341401	IncFormLen	SkipFormLen	SE	-chr9:139339503-139339563
SE_444	ENSG00000148396	SEC16A	chr9	-	139340096	139340171	NA	NA	139338274	139338352	139341306	139341401	IncFormLen	SkipFormLen	SE	-chr9:139340096-139340171
SE_500	ENSG00000100335	MIEF1	chr22	+	39905342	39905576	NA	NA	39900207	39900539	39907292	39907427	IncFormLen	SkipFormLen	SE	+chr22:39905342-39905576
SE_501	ENSG00000100335	MIEF1	chr22	+	39905426	39905576	NA	NA	39900207	39900539	39907292	39907443	IncFormLen	SkipFormLen	SE	+chr22:39905426-39905576
SE_536	ENSG00000127990	SGCE	chr7	-	94259030	94259153	NA	NA	94257513	94257671	94285301	94285410	IncFormLen	SkipFormLen	SE	-chr7:94259030-94259153
SE_552	ENSG00000214174	AMZ2P1	chr17	-	62969359	62969635	NA	NA	62968871	62969045	62970672	62971686	IncFormLen	SkipFormLen	SE	-chr17:62969359-62969635
SE_726	ENSG00000065809	FAM107B	chr10	-	14595320	14595386	NA	NA	14572330	14572514	14646238	14646417	IncFormLen	SkipFormLen	SE	-chr10:14595320-14595386
SE_740	ENSG00000196839	ADA	chr20	-	43252842	43252970	NA	NA	43251469	43251571	43257687	43257810	IncFormLen	SkipFormLen	SE	-chr20:43252842-43252970
SE_844	ENSG00000148308	GTF3C5	chr9	+	135930330	135930351	NA	NA	135930098	135930196	135931398	135931481	IncFormLen	SkipFormLen	SE	+chr9:135930330-135930351
SE_956	ENSG00000107263	RAPGEF1	chr9	-	134525515	134525629	NA	NA	134518625	134518804	134526196	134526336	IncFormLen	SkipFormLen	SE	-chr9:134525515-134525629
SE_1013	ENSG00000120370	GORAB	chr1	+	170502604	170502792	NA	NA	170501291	170501425	170508350	170508708	IncFormLen	SkipFormLen	SE	+chr1:170502604-170502792
SE_1015	ENSG00000120370	GORAB	chr1	+	170505450	170505562	NA	NA	170501291	170501425	170508350	170508708	IncFormLen	SkipFormLen	SE	+chr1:170505450-170505562
SE_1016	ENSG00000120370	GORAB	chr1	+	170505450	170505562	NA	NA	170502604	170502792	170508350	170508708	IncFormLen	SkipFormLen	SE	+chr1:170505450-170505562
